directorCd,directorNm,repRoleNm,filmos
10055945,이석근,감독,"[{'movieCd': '20153446', 'movieNm': '너의 결혼식', 'moviePartNm': '감독'}, {'movieCd': '20153446', 'movieNm': '너의 결혼식', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20172603', 'movieNm': '부라더', 'moviePartNm': '각색'}, {'movieCd': '20172742', 'movieNm': '범죄도시', 'moviePartNm': '각색'}, {'movieCd': '20060876', 'movieNm': '누가 예수를 죽였는가?', 'moviePartNm': '감독'}, {'movieCd': '20060876', 'movieNm': '누가 예수를 죽였는가?', 'moviePartNm': '시나리오(각본)'}]"
10086171,수잔나 포겔,감독,"[{'movieCd': '20187647', 'movieNm': '나를 차버린 스파이', 'moviePartNm': '감독'}]"
10085782,피터 버그,감독,"[{'movieCd': '20187657', 'movieNm': '마일22', 'moviePartNm': '감독'}, {'movieCd': '20171781', 'movieNm': '패트리어트 데이', 'moviePartNm': '감독'}, {'movieCd': '20168154', 'movieNm': '딥워터 호라이즌', 'moviePartNm': '감독'}, {'movieCd': '20147953', 'movieNm': '론 서바이버 ', 'moviePartNm': '감독'}, {'movieCd': '20112134', 'movieNm': '배틀쉽', 'moviePartNm': '감독'}, {'movieCd': '20080873', 'movieNm': '핸콕', 'moviePartNm': '감독'}, {'movieCd': '20070494', 'movieNm': '킹덤', 'moviePartNm': '감독'}, {'movieCd': '20048644', 'movieNm': '프라이데이 나잇 라이트', 'moviePartNm': '감독'}, {'movieCd': '20030209', 'movieNm': '웰컴 투 더 정글', 'moviePartNm': '감독'}, {'movieCd': '20018140', 'movieNm': '코르키 로마노', 'moviePartNm': '배우'}, {'movieCd': '19990144', 'movieNm': '베리배드씽', 'moviePartNm': '감독'}, {'movieCd': '19948202', 'movieNm': '기적의 터치다운', 'moviePartNm': '배우'}, {'movieCd': '20148755', 'movieNm': '질주', 'moviePartNm': '배우'}, {'movieCd': '19910177', 'movieNm': '영혼의 목걸이', 'moviePartNm': '배우'}]"
10085783,피터 버그만,감독,"[{'movieCd': '19900173', 'movieNm': '블레임 람바다', 'moviePartNm': '감독'}]"
10011005,아니쉬 차간티,감독,"[{'movieCd': '20185046', 'movieNm': '서치', 'moviePartNm': '감독'}]"
10031397,변혁,감독,"[{'movieCd': '20177537', 'movieNm': '상류사회', 'moviePartNm': '감독'}, {'movieCd': '20177537', 'movieNm': '상류사회', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20040671', 'movieNm': '주홍글씨', 'moviePartNm': '감독'}, {'movieCd': '20040671', 'movieNm': '주홍글씨', 'moviePartNm': '배우'}, {'movieCd': '20040671', 'movieNm': '주홍글씨', 'moviePartNm': '투자'}, {'movieCd': '20020197', 'movieNm': '서프라이즈', 'moviePartNm': '스토리'}, {'movieCd': '20000015', 'movieNm': '인터뷰', 'moviePartNm': '감독'}, {'movieCd': '20000015', 'movieNm': '인터뷰', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '19978776', 'movieNm': '올슨', 'moviePartNm': '감독'}, {'movieCd': '20120796', 'movieNm': 'His Concern', 'moviePartNm': '감독'}, {'movieCd': '20120796', 'movieNm': 'His Concern', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20126898', 'movieNm': '어머니의 여름', 'moviePartNm': '감독'}, {'movieCd': '19908375', 'movieNm': '호모 비디오쿠스', 'moviePartNm': '감독'}]"
10045281,알폰소 쿠아론,감독,"[{'movieCd': '20184091', 'movieNm': '로마', 'moviePartNm': '감독'}, {'movieCd': '20139221', 'movieNm': '그래비티', 'moviePartNm': '감독'}, {'movieCd': '20068730', 'movieNm': '칠드런 오브 맨', 'moviePartNm': '감독'}, {'movieCd': '20040598', 'movieNm': '해리포터와 아즈카반의 죄수', 'moviePartNm': '감독'}, {'movieCd': '20020097', 'movieNm': '이투마마', 'moviePartNm': '감독'}, {'movieCd': '19980157', 'movieNm': '위대한 유산 ', 'moviePartNm': '감독'}, {'movieCd': '19930298', 'movieNm': '러브 앤 히스테리', 'moviePartNm': '감독'}, {'movieCd': '20134710', 'movieNm': '도대체 그 남자가 누구야', 'moviePartNm': '감독'}]"
10029772,발타자르 코루마쿠르,감독,"[{'movieCd': '20189261', 'movieNm': '어드리프트:우리가 함께한 바다', 'moviePartNm': '감독'}, {'movieCd': '20178987', 'movieNm': '오스', 'moviePartNm': '감독'}, {'movieCd': '20178987', 'movieNm': '오스', 'moviePartNm': '배우'}, {'movieCd': '20151421', 'movieNm': '에베레스트', 'moviePartNm': '감독'}, {'movieCd': '20135343', 'movieNm': '투건스', 'moviePartNm': '감독'}, {'movieCd': '20124873', 'movieNm': '콘트라밴드', 'moviePartNm': '감독'}, {'movieCd': '20068912', 'movieNm': '살인의 기억', 'moviePartNm': '감독'}, {'movieCd': '20051227', 'movieNm': '천국으로 가는 초라한 여행', 'moviePartNm': '감독'}, {'movieCd': '20031370', 'movieNm': '폭풍의 계절', 'moviePartNm': '배우'}, {'movieCd': '20028168', 'movieNm': '보이지 않는 세계', 'moviePartNm': '배우'}, {'movieCd': '20028945', 'movieNm': '성난 바다', 'moviePartNm': '감독'}, {'movieCd': '20008917', 'movieNm': '레이캬비크', 'moviePartNm': '감독'}, {'movieCd': '20008917', 'movieNm': '레이캬비크', 'moviePartNm': '배우'}, {'movieCd': '20001057', 'movieNm': '버림받은 천사들', 'moviePartNm': '배우'}, {'movieCd': '19991022', 'movieNm': '분열', 'moviePartNm': '배우'}, {'movieCd': '19970185', 'movieNm': '아그네스의 원죄 ', 'moviePartNm': '배우'}]"
10038539,갈리나 미클리노바,감독,"[{'movieCd': '20188446', 'movieNm': '양말요정 휴고의 대모험', 'moviePartNm': '감독'}]"
10088447,허종호,감독,"[{'movieCd': '20156554', 'movieNm': '물괴', 'moviePartNm': '감독'}, {'movieCd': '20156554', 'movieNm': '물괴', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20142855', 'movieNm': '성난 변호사', 'moviePartNm': '감독'}, {'movieCd': '20142855', 'movieNm': '성난 변호사', 'moviePartNm': '각색'}, {'movieCd': '20111914', 'movieNm': '카운트다운', 'moviePartNm': '감독'}, {'movieCd': '20111914', 'movieNm': '카운트다운', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20070096', 'movieNm': '눈부신 날에', 'moviePartNm': '조감독'}, {'movieCd': '20120669', 'movieNm': '얼굴값', 'moviePartNm': '스크립터'}, {'movieCd': '20060714', 'movieNm': '승부', 'moviePartNm': '감독'}]"
